year,week,Bermuda,Canada,Mexico,USA,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Panama,Cuba,Dominican Republic,French Guiana,Guadaloupe,Haiti,Martinique,Puerto Rico,Saint Barthelemy,Saint Martin,Bolivia,Colombia,Ecuador,Peru,Venezuela,Argentina,Brazil,Chile,Paraguay,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Curacao,Dominica,Grenada,Guyana,Jamaica,Montserrat,Saint Kitts and Nevis,Saint Lucia,Saint Vincent,Sint Maarten,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Virgin Islands UK,Virgin Islands US
2013,42,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,43,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,44,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,45,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,47,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,48,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,49,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,50,,,,,,,,,,,,,,,,,2,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,51,,,,,,,,,,,,,,,1,,3,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,8,0,9,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,1,,,,,,,,,,,,0,0,1,10,0,48,0,25,201,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,2,,,,,,,,,,,,0,0,1,27,0,127,0,31,294,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,3,0
2014,3,,,,,,,,,,,,0,0,2,68,0,267,0,45,393,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,3,0
2014,4,,,,,,,,,,,,0,0,4,119,0,364,0,56,476,,,,,,,,,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,5,0
2014,5,,,,,,,,,,,,0,0,4,175,0,518,0,83,601,,,,,,,,,,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,40,0,0,0,5,0
2014,6,,,,,,,,,,,,0,0,5,253,0,844,0,104,653,,,,,,,,,,5,0,1,0,0,0,0,45,0,0,0,0,0,0,0,65,0,0,0,5,0
2014,7,,,,,,,,,,,,0,0,7,335,0,943,0,114,711,,,,,,,,,,11,0,1,0,0,0,0,45,0,0,0,0,1,0,0,65,0,0,0,5,0
2014,8,,,,,,,,,,,,0,0,17,476,0,1058,0,127,765,,,,,,,,,,11,0,1,0,0,0,0,56,0,0,0,0,1,0,0,65,0,0,0,5,0
2014,9,,,,,,,,,,,,0,0,17,476,0,1058,0,127,765,,,,,,,,,,14,0,1,0,0,0,0,56,0,0,0,0,1,0,0,115,0,0,0,7,0
