year,week,Bermuda,Canada,Mexico,USA,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Panama,Cuba,Dominican Republic,French Guiana,Guadaloupe,Haiti,Martinique,Puerto Rico,Saint Barthelemy,Saint Martin,Bolivia,Colombia,Ecuador,Peru,Venezuela,Argentina,Brazil,Chile,Paraguay,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Curacao,Dominica,Grenada,Guyana,Jamaica,Montserrat,Saint Kitts and Nevis,Saint Lucia,Saint Vincent,Sint Maarten,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Virgin Islands UK,Virgin Islands US
2013,42,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,43,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,44,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,45,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,47,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,48,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,49,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,50,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,51,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,52,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,5,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,8,,,,,,,,,,,,,,,21,,27,,11,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9,,,,,,,,,,,,,0,25,1460,0,3940,0,380,2030,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,
2014,10,,,,,,,,,,,,,0,25,1800,0,5680,0,410,2560,,,,,,,,,,,,,,,,,394,,,,,,,,,,,,,
2014,11,,,,,,,,,,,,,0,25,1960,0,7630,0,420,2640,,,,,,,,,,,,,,,,,394,,,,,,,,,,,,,
2014,12,,,,,,,,,,,,,0,25,2270,0,9340,0,435,2750,,,,,,,,,,,,,,,,,487,,,,,,,,,,,,,
2014,13,,,,,,,,,,,,,0,25,2737,0,11400,0,435,2840,,,,,,,,,,,,,,,,,558,,,,,,,,,,,,,
2014,14,,,,,,,,,,,,,0,25,3690,0,13500,0,444,2910,,,,,,,,,,,,,,,,,871,,,,,,,,,,,,,
2014,15,,,,,,,,,,,,,767,25,4710,0,16000,0,460,2980,,,,,,,,,,,,,,,,,1063,,,,,,,,,,,,,
2014,16,,,,,,,,,,,,,3015,25,6000,0,17630,0,480,3030,,,,,,,,,,,,,,,,,1252,,,,,,,24,,,,,,
2014,17,,,,,,,,,,,,,7520,25,8000,0,19700,0,485,3160,,,,,,,,,,,,,,,,,1252,,,,,,,24,,,,,,
2014,18,,,,,,,,,,,,,8017,25,10600,0,21820,0,490,3210,,,,,,,,,,,,,,,,,1252,,,,,,,24,,,,,,
2014,19,,,,,,,,,,,,,8017,25,13600,0,24180,0,500,3240,,,,,,,,,,,,,,,,,1578,,,,,,,24,,,,,,
2014,20,,,,,,,,,,,,,8017,25,18000,3460,26670,0,510,3280,,,,,,,,,,,,,,,,,1817,,,,,,,110,,,,,,
2014,21,,,,,,,,,,,,,38639,25,23100,6312,29200,0,520,3320,,,,,,,,,,,,,,,,,1817,0,0,0,0,0,0,110,0,0,0,0,0,0
2014,22,,,,,,,,,,,,,52976,25,28320,11802,31720,0,540,3340,,,,,,,,,,,,,,,,,1817,0,0,0,0,0,214,212,0,0,0,0,0,0
2014,23,,,,,,,,,,,,,77320,25,35000,11802,35000,0,570,3380,,,,,,,,,,,,,,,,,2492,0,0,0,0,0,214,212,0,0,0,0,0,0
2014,24,,,,,,,,,,,,,89720,25,40400,11802,35000,0,620,3430,,,,,,,,,,,,,,,,,2492,,0,,,0,214,212,0,,,0,0,0
2014,25,,,,,,,1300,,,,,,135835,25,40400,39343,35000,119,620,3430,,,,,,,,,,,,,,,,,3102,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,26,,,,,,,1512,,,,,,165433,25,40400,51830,35000,180,620,3430,,,,,,,,,,,,,,,,,3102,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,27,,,,,,,1608,,,,,,193395,25,52000,51830,43550,301,680,3540,,,,,,,,,,,,,,,,,3102,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,28,,,,0,,,1775,,,,,,251880,25,63000,62422,48940,503,730,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,29,,,,0,,,1775,,,,,,251880,25,63000,64695,48940,643,730,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3559,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,30,,,,0,,,1969,,,,,,281850,1194,69740,64695,52560,1033,800,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3559,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,31,,,,0,,,2345,,,,,,307862,1194,69740,64695,52560,1596,800,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3559,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,32,,,,0,,,3575,,,,,,370141,1665,73120,64695,55920,2549,860,3860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3559,0,0,0,0,31,214,329,0,0,0,0,0,0
2014,33,,,,,,,3575,,,,,,370141,1665,73120,64695,55920,2549,860,3860,,,,,,,,,,,,,,,,8,3559,,,,,31,214,329,,,,,,
2014,34,,,,,,,5106,,,,,,370141,1665,73120,64695,55920,3723,860,3860,,,,,,,,,,,,,,67,,,3559,,,,,31,214,329,,,,,,214
2014,35,,,,,,,8032,,,,,,429421,,75400,64695,59440,4079,900,3990,,,,,,,,,,,,,,67,,,3559,,,,,31,214,329,,,,,,311
2014,36,,,,,,,8032,,,,,,429421,,75400,64695,59440,4841,900,3990,,,,,,,,,,,,,,77,,,3559,,,,,31,214,329,,,,,,415
2014,37,,,,,,,16389,,,,,,467066,2900,77240,64695,61860,5371,945,4090,,,,,,,,,,,679,73,,77,,23,3559,,,,,31,214,329,,,,,,552
2014,38,,,,,,,16389,,,,,,486306,2900,77240,64695,61860,6277,945,4090,,1308,,,841,,,,,,679,85,,77,,607,3559,,,194,,31,214,329,,,,,,552
