GMI_CNTRY,pjanMN,poctMN,pnovMN,pdecMN,pfebMN,pmarMN,paprMN,pmayMN,pjunMN,pjulMN,paugMN,psepMN,tjanMN,toctMN,tnovMN,tdecMN,tfebMN,tmarMN,taprMN,tmayMN,tjunMN,tjulMN,taugMN,tsepMN
ABW,43.65740741,68.62962963,77.15277778,67.53240741,23.99537037,9.736111111,13.63425926,16.23148148,15.64351852,29.22685185,19.36574074,36.49537037,258.712963,282.3148148,274.25,265.4398148,259.6527778,262.1944444,271.2037037,277.6944444,278.4953704,277.6018519,281.1898148,287.1666667
ATG,71.59003831,115.9425287,108.9770115,98.3256705,39.06130268,44.21072797,58.45402299,98.04214559,72.19348659,84.16858238,114.4808429,128.98659,245.8122605,271.967433,264.4176245,254.0478927,246.9195402,251.2758621,260.6072797,268.967433,274.4233716,275.2662835,276.862069,275.6130268
ARG,64.37480811,47.66393849,52.82945206,59.58519707,59.27081167,65.81876756,46.58581556,35.96761816,29.2073936,26.06898255,23.2970857,30.38581222,208.4060945,144.952727,175.0290779,196.8271791,200.205873,178.0865647,137.16436,105.0960171,75.91449531,74.60415374,90.94747792,114.8751347
AIA,68.16470588,115.8588235,121.3647059,92.87058824,44.82352941,49.35294118,60.82352941,88.62352941,53.08235294,73.62352941,98.10588235,109.4235294,252.9764706,279.2117647,270.1764706,259.2,253.7058824,258.0352941,264.6352941,273.4,280.4,282.1058824,283.5411765,282.3764706
BRB,72.4588015,181.8838951,182.6254682,101.8089888,53.23220974,41.39138577,52.21348315,67.94007491,117.664794,141.5018727,162.8539326,174.9007491,241.0262172,260.7397004,256.7134831,246.0992509,241.6385768,249.1067416,255.5786517,261.9962547,264.3258427,262.2808989,265.0468165,264.3970037
BMU,118.2307692,162.8076923,120.6153846,126.5,120.7692308,117.8846154,96.80769231,104.3846154,118.6153846,118.9615385,139.7692308,131.9615385,174.1923077,236.9230769,207.8461538,185.7307692,170.7692308,172.3846154,186.8076923,213.1538462,242.2307692,264.1538462,270.2307692,259.7307692
BHS,41.86915117,162.7981404,70.19766047,42.5440162,40.93896221,35.93356329,48.50989802,104.7923665,139.2161818,91.22862927,116.0211458,153.410018,216.3495801,262.1720906,244.2542741,225.9785543,219.3374325,231.3585033,244.2611728,260.7453509,272.5035243,280.5223455,283.3524295,276.4334883
BLZ,123.120201,234.4546554,179.9184175,127.0833963,63.25986245,58.00846433,52.73295798,117.1518667,281.7717276,298.8837288,235.5272446,279.6775998,221.1729519,252.9252947,233.0929187,226.3928733,231.6794513,241.6300635,258.6512243,266.6511109,265.784802,259.5348776,259.052373,260.8819906
BOL,197.7002098,82.29234791,119.230414,165.2630376,173.3331046,146.7360298,83.01052195,52.49637679,31.79363349,22.42883348,28.18617313,47.06685776,222.6333641,218.1592004,222.1410426,222.4735211,221.0786137,216.6692956,204.7395381,187.7528188,171.7405039,170.3857023,186.1210059,206.4744861
BRA,230.524269,124.0116694,157.015857,205.5029402,217.1204844,228.7893203,185.2387681,128.5407534,80.36844164,62.47965189,56.73226408,77.24399671,252.1247985,252.4348222,252.7988218,250.7816625,251.6925133,249.5429441,243.671192,234.7164355,228.2707339,229.8507006,239.465318,248.2159027
