OBJECTID,GMI_CNTRY,ZONE_CODE,COUNT,AREA,SUM
1,ABW,1,2,0.0200000,11096.0195313
2,ATG,2,5,0.0500000,9473.3212891
3,AFG,3,6261,62.6100006,440879.6250000
4,DZA,4,21345,213.4500122,2562133.0000000
5,AZE,5,914,9.1400003,27903.3203125
6,ALB,6,306,3.0600002,19673.2089844
7,ARM,7,315,3.1500001,7187.7573242
8,AND,8,6,0.0600000,0.0000000
9,AGO,9,10368,103.6800003,3625140.5000000
10,ASM,10,1,0.0100000,9846.8691406
11,ARG,11,27844,278.4400024,6319656.5000000
12,AUS,12,69560,695.6000366,2376781.0000000
13,AUT,13,1001,10.0100002,26178.1015625
14,AIA,14,1,0.0100000,206.6006012
15,BHR,15,6,0.0600000,90284.7187500
16,BRB,16,3,0.0300000,30667.7089844
,BMU,,,,63247
17,BWA,17,5072,50.7200012,296086.6562500
18,BEL,18,388,3.8800001,0.0000000
19,BHS,19,111,1.1100000,44453.7148438
20,BGD,20,1222,12.2200003,30917834.0000000
,BLM,,,,7367
21,BLZ,21,184,1.8400000,46792.4804688
22,BIH,22,582,5.8200002,2249.5214844
23,BOL,23,9218,92.1800003,1922939.8750000
24,MMR,24,5811,58.1100006,9576189.0000000
25,BEN,25,963,9.6300001,1902263.8750000
26,BLR,26,2817,28.1700001,0.0000000
27,SLB,27,217,2.1700001,171196.3750000
28,BRA,28,70687,706.8699951,32980368.0000000
29,BTN,29,365,3.6500001,505624.0312500
30,BGR,30,1225,12.2500000,2433.6093750
31,NOR,31,5979,59.7900009,80599.6328125
32,BRN,32,48,0.4800000,74466.8359375
33,BDI,33,220,2.2000000,1771485.1250000
34,CAN,34,169409,1694.0900879,24541.5820313
35,KHM,35,1509,15.0900002,3424405.7500000
36,TCD,36,10723,107.2300034,1630817.8750000
37,LKA,37,547,5.4700003,3599821.2500000
38,COG,38,2792,27.9200001,814207.6250000
39,ZAR,39,18999,189.9900055,15278968.0000000
40,CHN,40,95058,950.5800171,51569716.0000000
41,CHL,41,7797,77.9700012,2306485.0000000
42,CYM,42,2,0.0200000,5198.2065430
43,CMR,43,3795,37.9500008,3344048.5000000
44,COM,44,13,0.1300000,137319.7031250
45,COL,45,9274,92.7400055,9288035.0000000
46,MNP,46,2,0.0200000,2378.2807617
47,CRI,47,424,4.2400002,966290.9375000
48,CAF,48,5061,50.6100006,828388.6875000
49,CUB,49,948,9.4800005,1954652.7500000
,CUW,,,,152760
50,CPV,50,33,0.3300000,87193.8515625
51,COK,51,1,0.0100000,3474.5590820
