gmi,min.R0,mean.R0,max.R0
ABW,2.13988154180908,3.12642318611814,4.66723428802915
AIA,3.02355403579213,4.45959997236468,5.9214833766092
ANT,2.30888046762588,3.33903015552528,5.4468629330716
ARG,5.67348314506504e-06,0.562313516075159,2.60096206309873
ATG,4.03487149046073,5.03508051752892,6.31242110250242
BHS,2.83969623451913,4.72268143257406,7.41719232622257
BLM,3.39054031458253,4.88196238454549,6.27532475996276
BLZ,4.58361852120341,6.34760678466759,8.4538686264405
BMU,0.496997481136665,3.84915824863332,7.83277962736834
BOL,0.255922533847844,3.26395264435847,6.36138685831344
BRA,4.46419609696101,6.97985754717613,8.48652462089556
BRB,4.42380166674579,6.21807532037717,8.09361804715947
CAN,6.10012360880353e-48,8.78731956739477e-05,0.00125207481975978
CHL,7.08003334326857e-08,0.0016664488987503,0.00984562222350106
COL,6.43115002399169,7.51344108119956,8.48326954638123
CRI,2.52776881804185,5.5562119990414,8.43082551757
CUB,3.21807246366827,5.61985623968818,7.86464285002897
CUW,2.28598905298782,3.4594590616692,5.66027612803086
CYM,3.82543882320604,5.26624262345977,7.03525722483016
DMA,5.21512052307548,6.95232347383055,8.45063242255071
DOM,3.40729685397696,6.30263210385365,8.36156698648392
ECU,2.70249212452365,4.01835334110118,4.98322455293426
FLK,4.54349280197342e-10,1.76505366602933e-05,9.35727743810137e-05
GLP,4.85206592297846,7.30884690760708,8.48889638559916
GRD,5.0025737683394,6.91373947379799,8.2582040712735
GTM,2.50721352337976,5.46597468314986,8.44032681288223
GUF,3.33993204458264,6.68692385739467,8.38846555341993
GUY,4.69267307144665,6.73200287856089,7.97114475146245
HND,3.4734725598013,6.31100875378253,8.47291479904333
HTI,3.26683342843937,6.50185207610115,8.47598461866302
JAM,4.3576007335957,6.89865305051338,8.47452824252285
KNA,4.88847568213662,6.52536616453958,7.90395657380621
LCA,5.40858105288213,7.2306233345269,8.40325831259978
MAF,3.28022154648347,4.72928813507789,6.18493522228979
MEX,0.0409385251493139,3.22077857206113,7.55624599928898
MSR,5.38791472180127,7.20077669212829,8.42382578644632
MTQ,5.86037177014733,7.33331358629098,8.2583081509718
NIC,4.20096992794409,6.36231612391778,8.46279154718594
PAN,3.34568201082532,6.19623370533339,8.35044251936443
PER,0.565376824969,1.92577451103691,2.93856688978227
PRI,4.18594550220064,7.05648034893364,8.48975704932522
PRY,0.747625922519915,4.28468029648275,6.86194538423551
SLV,2.93595458138829,5.29961530921877,8.3724046745773
SUR,3.6437014374338,6.45275427484188,8.30458514905099
SXM,3.28414492979863,4.71617962166751,6.15289221930276
TCA,2.64505468110644,4.19443597497174,6.63956180003946
TTO,5.2238801414294,6.98365498904572,8.45445235868201
URY,0.00236455106697533,1.99936589548301,6.6153527841294
USA,4.33595274989257e-19,0.238021083433763,1.70758905406254
VCT,5.56115161587148,7.28552698652005,8.43161012356668
VEN,4.43474458350477,6.7570012433737,8.20228273207527
VGB,4.34020124850006,5.6422097579581,7.56042792150823
VIR,3.96455206005936,5.36961188773639,7.19517863628612
